image-ID,cycle,z-step,frame,accum,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,amp,background11,background12,background21,background22,chisq,particle-ID,vis-probe
70,0,1,70,2,1175.51,1,1,0,0,1,1,1,1,9058.87,39424.9,11569.1,1,1,1,1,0,0.145833,-1,0
70,0,1,70,3,1709.64,1,1,0,0,1,1,1,1,8051.21,40447.3,11897.5,1,1,1,1,0,0.120926,-1,0
71,0,1,71,2,1592.98,1,1,0,0,1,1,1,1,9059.45,39427.5,11613.9,1,1,1,1,0,0.125275,-1,0
71,0,1,71,3,1433.62,1,1,0,0,1,1,1,1,8039.71,40445.5,11860.3,1,1,1,1,0,0.132054,-1,0
77,0,1,77,2,1010.08,1,1,0,0,1,1,1,1,5872.99,36417.1,10622.9,1,1,1,1,0,0.157323,-1,0
79,0,1,79,2,1221.21,1,1,0,0,1,1,1,1,7339.97,38081.9,11405.7,1,1,1,1,0,0.143079,-1,0
87,0,1,87,2,977.678,1,1,0,0,1,1,1,1,8570.33,40052.8,11647.8,1,1,1,1,0,0.159909,-1,0
88,0,1,88,2,943.952,1,1,0,0,1,1,1,1,8604.28,38102.4,11567.5,1,1,1,1,0,0.16274,-1,0
88,0,1,88,2,1249.55,1,1,0,0,1,1,1,1,8589.66,40056,11619.3,1,1,1,1,0,0.141447,-1,0
89,0,1,89,2,1118.79,1,1,0,0,1,1,1,1,8599.99,38111.3,11658.8,1,1,1,1,0,0.149484,-1,0
89,0,1,89,2,1148.3,1,1,0,0,1,1,1,1,8575.45,40041.7,11630.5,1,1,1,1,0,0.147551,-1,0
90,0,1,90,3,1400.92,1,1,0,0,1,1,1,1,8574.44,40046.6,11565,1,1,1,1,0,0.133587,-1,0
90,0,1,90,2,1007.52,1,1,0,0,1,1,1,1,8606.05,38098.6,11584.1,1,1,1,1,0,0.157523,-1,0
90,0,1,90,2,1146.61,1,1,0,0,1,1,1,1,7322.19,39901.5,11700.1,1,1,1,1,0,0.14766,-1,0
91,0,1,91,3,1678.2,1,1,0,0,1,1,1,1,8581.17,40040.7,11582.7,1,1,1,1,0,0.122053,-1,0
91,0,1,91,2,1274.08,1,1,0,0,1,1,1,1,7334.49,39906,11630.9,1,1,1,1,0,0.140078,-1,0
91,0,1,91,2,1025.15,1,1,0,0,1,1,1,1,4700.28,36217.3,10904.4,1,1,1,1,0,0.156163,-1,0
91,0,1,91,2,1429.23,1,1,0,0,1,1,1,1,4557.65,39314.9,11485,1,1,1,1,0,0.132257,-1,0
92,0,1,92,2,976.347,1,1,0,0,1,1,1,1,8604.89,38100.6,11560.4,1,1,1,1,0,0.160018,-1,0
92,0,1,92,2,1266.32,1,1,0,0,1,1,1,1,8583.81,40066.3,11650.2,1,1,1,1,0,0.140507,-1,0
92,0,1,92,3,1371.1,1,1,0,0,1,1,1,1,7318.71,39890.6,11669.9,1,1,1,1,0,0.135032,-1,0
92,0,1,92,2,1158.69,1,1,0,0,1,1,1,1,4697.85,36218.9,10866.9,1,1,1,1,0,0.146888,-1,0
92,0,1,92,2,1551.95,1,1,0,0,1,1,1,1,4537.66,39323.6,11413.9,1,1,1,1,0,0.12692,-1,0
93,0,1,93,2,1182.63,1,1,0,0,1,1,1,1,4698.8,36235.5,10917.8,1,1,1,1,0,0.145394,-1,0
93,0,1,93,2,1429.28,1,1,0,0,1,1,1,1,4553.44,39313.3,11487.4,1,1,1,1,0,0.132255,-1,0
94,0,1,94,2,1275.98,1,1,0,0,1,1,1,1,6433.91,36158.9,10918.9,1,1,1,1,0,0.139974,-1,0
95,0,1,95,2,1230.88,1,1,0,0,1,1,1,1,6424.8,36160.3,10913.7,1,1,1,1,0,0.142516,-1,0
96,0,1,96,2,1284.7,1,1,0,0,1,1,1,1,6433.65,36156.4,10946.4,1,1,1,1,0,0.139498,-1,0
96,0,1,96,2,1290.05,1,1,0,0,1,1,1,1,5284.08,35481.1,10692.2,1,1,1,1,0,0.139209,-1,0
97,0,1,97,2,931.726,1,1,0,0,1,1,1,1,5292.98,35482.3,10682.2,1,1,1,1,0,0.163805,-1,0
98,0,1,98,2,1167.72,1,1,0,0,1,1,1,1,5281.52,35461.2,10649.1,1,1,1,1,0,0.146319,-1,0
99,0,1,99,2,2267.89,1,1,0,0,1,1,1,1,8197.64,41706.3,11878.9,1,1,1,1,0,0.104993,-1,0
100,1,1,0,2,1630.29,1,1,0,0,1,1,1,1,10230.4,38588.4,11526.2,1,1,1,1,0,0.123833,-1,0
106,1,1,6,2,755.183,1,1,0,0,1,1,1,1,9700.62,40070.6,11620.1,1,1,1,1,0,0.181947,-1,0
107,1,1,7,2,1138.1,1,1,0,0,1,1,1,1,5792.91,36505.6,10553.1,1,1,1,1,0,0.148211,-1,0
108,1,1,8,2,816.653,1,1,0,0,1,1,1,1,9714.71,40085.8,11689.9,1,1,1,1,0,0.174965,-1,0
108,1,1,8,2,1512.74,1,1,0,0,1,1,1,1,4153.76,38983.4,11518.3,1,1,1,1,0,0.128555,-1,0
109,1,1,9,2,1456.82,1,1,0,0,1,1,1,1,8932.92,35139,10430.5,1,1,1,1,0,0.130999,-1,0
109,1,1,9,2,1653.8,1,1,0,0,1,1,1,1,4159.01,38971.7,11449.3,1,1,1,1,0,0.12295,-1,0
110,1,1,10,3,1185.11,1,1,0,0,1,1,1,1,7352.77,40897.3,11725.1,1,1,1,1,0,0.145241,-1,0
110,1,1,10,2,1433.03,1,1,0,0,1,1,1,1,4144.23,38983.8,11469.4,1,1,1,1,0,0.132082,-1,0
111,1,1,11,3,1629.26,1,1,0,0,1,1,1,1,9499.55,38123.7,11247.6,1,1,1,1,0,0.123872,-1,0
111,1,1,11,3,1143.1,1,1,0,0,1,1,1,1,9695.58,40076.6,11705.4,1,1,1,1,0,0.147886,-1,0
111,1,1,11,2,1122.13,1,1,0,0,1,1,1,1,7364.92,40904.3,11747.3,1,1,1,1,0,0.149262,-1,0
111,1,1,11,3,1655.71,1,1,0,0,1,1,1,1,4149.31,39012.5,11581.8,1,1,1,1,0,0.122879,-1,0
112,1,1,12,2,973.414,1,1,0,0,1,1,1,1,7347.37,40915.1,11803.8,1,1,1,1,0,0.160259,-1,0
113,1,1,13,2,1202.27,1,1,0,0,1,1,1,1,9489.47,38106.5,11198.5,1,1,1,1,0,0.144202,-1,0
113,1,1,13,2,874.745,1,1,0,0,1,1,1,1,7355.38,40906.1,11768.2,1,1,1,1,0,0.169056,-1,0
114,1,1,14,2,999.386,1,1,0,0,1,1,1,1,7339.25,40929.3,11728.6,1,1,1,1,0,0.158162,-1,0
114,1,1,14,2,921.126,1,1,0,0,1,1,1,1,3588.29,39844.3,11568.4,1,1,1,1,0,0.164744,-1,0
115,1,1,15,3,1240.26,1,1,0,0,1,1,1,1,7338.15,40909.2,11718.3,1,1,1,1,0,0.141976,-1,0
116,1,1,16,3,1195.5,1,1,0,0,1,1,1,1,7350.01,40908.3,11683.6,1,1,1,1,0,0.144609,-1,0
117,1,1,17,2,1022.52,1,1,0,0,1,1,1,1,7354.87,40908.2,11735.8,1,1,1,1,0,0.156363,-1,0
118,1,1,18,2,1372.94,1,1,0,0,1,1,1,1,7338.89,38029,11472.5,1,1,1,1,0,0.134941,-1,0
118,1,1,18,3,1492.95,1,1,0,0,1,1,1,1,6035.35,40684.6,11600.8,1,1,1,1,0,0.129404,-1,0
119,1,1,19,3,1213.93,1,1,0,0,1,1,1,1,7327.83,40910.6,11719.9,1,1,1,1,0,0.143507,-1,0
119,1,1,19,2,751.476,1,1,0,0,1,1,1,1,3599.02,39853.9,11545.9,1,1,1,1,0,0.182395,-1,0
120,1,1,20,2,1100.81,1,1,0,0,1,1,1,1,6040.44,40682.6,11561.5,1,1,1,1,0,0.1507,-1,0
121,1,1,21,2,599.68,1,1,0,0,1,1,1,1,3590.76,39869.1,11510.3,1,1,1,1,0,0.204179,-1,0
122,1,1,22,2,1319.05,1,1,0,0,1,1,1,1,5730.03,36466,10992.6,1,1,1,1,0,0.13767,-1,0
122,1,1,22,2,1127.93,1,1,0,0,1,1,1,1,6745.32,40093.9,11704,1,1,1,1,0,0.148877,-1,0
123,1,1,23,2,1183.51,1,1,0,0,1,1,1,1,8019.76,36847.5,11021.5,1,1,1,1,0,0.14534,-1,0
